,donor_id,site_id,cell_class,annotation_coarse,count
6698,AT6,AT6-BRA-3-FO-4,AC-gliosis-hypoxia,AC-gliosis-like,1760
6699,AT6,AT6-BRA-3-FO-4,AC-gliosis-hypoxia,Gliosis-like,158
6705,AT6,AT6-BRA-3-FO-4,NPC-OPC-like,OPC-like,5173
6706,AT6,AT6-BRA-3-FO-4,NPC-OPC-like,OPC-NPC-like,108
6707,AT6,AT6-BRA-3-FO-4,NPC-OPC-like,OPC-neuronal-like,29
6714,AT6,AT6-BRA-3-FO-4,NPC-neuronal-like,NPC-neuronal-like,24
6723,AT6,AT6-BRA-3-FO-4,Proliferative,Proliferative,1473
8784,AT7,AT7-BRA-3-FO-1,AC-gliosis-hypoxia,AC-progenitor-like,310
8785,AT7,AT7-BRA-3-FO-1,AC-gliosis-hypoxia,AC-gliosis-like,12
8793,AT7,AT7-BRA-3-FO-1,NPC-OPC-like,OPC-NPC-like,375
8794,AT7,AT7-BRA-3-FO-1,NPC-OPC-like,OPC-like,49
8795,AT7,AT7-BRA-3-FO-1,NPC-OPC-like,OPC-neuronal-like,1
8802,AT7,AT7-BRA-3-FO-1,NPC-neuronal-like,NPC-neuronal-like,3
8811,AT7,AT7-BRA-3-FO-1,Proliferative,Proliferative,91
8820,AT7,AT7-BRA-3-FO-2,AC-gliosis-hypoxia,Hypoxic,1207
8821,AT7,AT7-BRA-3-FO-2,AC-gliosis-hypoxia,AC-progenitor-like,561
8822,AT7,AT7-BRA-3-FO-2,AC-gliosis-hypoxia,AC-gliosis-like,412
8823,AT7,AT7-BRA-3-FO-2,AC-gliosis-hypoxia,Gliosis-like,268
8829,AT7,AT7-BRA-3-FO-2,NPC-OPC-like,OPC-like,370
8830,AT7,AT7-BRA-3-FO-2,NPC-OPC-like,OPC-NPC-like,177
8831,AT7,AT7-BRA-3-FO-2,NPC-OPC-like,OPC-neuronal-like,7
8838,AT7,AT7-BRA-3-FO-2,NPC-neuronal-like,NPC-neuronal-like,7
8847,AT7,AT7-BRA-3-FO-2,Proliferative,Proliferative,271
8856,AT7,AT7-BRA-3-FO-3,AC-gliosis-hypoxia,AC-progenitor-like,3370
8857,AT7,AT7-BRA-3-FO-3,AC-gliosis-hypoxia,Hypoxic,476
8858,AT7,AT7-BRA-3-FO-3,AC-gliosis-hypoxia,Gliosis-like,168
8859,AT7,AT7-BRA-3-FO-3,AC-gliosis-hypoxia,AC-gliosis-like,114
8865,AT7,AT7-BRA-3-FO-3,NPC-OPC-like,OPC-NPC-like,560
8866,AT7,AT7-BRA-3-FO-3,NPC-OPC-like,OPC-like,245
8867,AT7,AT7-BRA-3-FO-3,NPC-OPC-like,OPC-neuronal-like,2
8874,AT7,AT7-BRA-3-FO-3,NPC-neuronal-like,NPC-neuronal-like,16
8883,AT7,AT7-BRA-3-FO-3,Proliferative,Proliferative,1002
8892,AT7,AT7-BRA-3-FO-4,AC-gliosis-hypoxia,AC-progenitor-like,3922
8893,AT7,AT7-BRA-3-FO-4,AC-gliosis-hypoxia,Gliosis-like,1373
8894,AT7,AT7-BRA-3-FO-4,AC-gliosis-hypoxia,AC-gliosis-like,1025
8895,AT7,AT7-BRA-3-FO-4,AC-gliosis-hypoxia,Hypoxic,862
8901,AT7,AT7-BRA-3-FO-4,NPC-OPC-like,OPC-like,164
8902,AT7,AT7-BRA-3-FO-4,NPC-OPC-like,OPC-NPC-like,27
8903,AT7,AT7-BRA-3-FO-4,NPC-OPC-like,OPC-neuronal-like,3
8910,AT7,AT7-BRA-3-FO-4,NPC-neuronal-like,NPC-neuronal-like,13
8919,AT7,AT7-BRA-3-FO-4,Proliferative,Proliferative,831
10980,AT9,AT9-BRA-4-FO-1,AC-gliosis-hypoxia,AC-progenitor-like,968
10981,AT9,AT9-BRA-4-FO-1,AC-gliosis-hypoxia,Hypoxic,680
10982,AT9,AT9-BRA-4-FO-1,AC-gliosis-hypoxia,AC-gliosis-like,114
10983,AT9,AT9-BRA-4-FO-1,AC-gliosis-hypoxia,Gliosis-like,82
10989,AT9,AT9-BRA-4-FO-1,NPC-OPC-like,OPC-neuronal-like,2988
10990,AT9,AT9-BRA-4-FO-1,NPC-OPC-like,OPC-like,2018
