,source,score,norm,pval,state,pval_plot,ng_log_p
114,HALLMARK_HYPOXIA,-0.55352813,-1.7193239,0.0,NPC-neuronal-like 3,9.99999e-07,13.815512
115,GOBP_ASTROCYTE_DIFFERENTIATION,-0.6227056,-1.684239,0.0,NPC-neuronal-like 3,9.99999e-07,13.815512
116,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.63436544,1.4848692,0.015965167,NPC-neuronal-like 3,0.015965167,4.137346
117,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.73984426,-1.5571961,0.023684211,NPC-neuronal-like 3,0.023684211,3.7429466
118,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.38646853,-1.0798273,0.2789855,NPC-neuronal-like 3,0.2789855,1.2765955
119,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.35189483,0.8696185,0.7109589,NPC-neuronal-like 3,0.7109589,0.3411407
120,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.5990134,1.5605125,0.0025510204,Proliferative nIPC-like,0.0025510204,5.971262
121,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.5648929,1.4127294,0.03470437,Proliferative nIPC-like,0.03470437,3.3608897
122,HALLMARK_HYPOXIA,-0.34046066,-1.1560034,0.09090909,Proliferative nIPC-like,0.09090909,2.3978953
123,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.5544626,-1.2375365,0.1764706,Proliferative nIPC-like,0.1764706,1.734601
124,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.4442336,1.1484004,0.2290576,Proliferative nIPC-like,0.2290576,1.4737818
125,GOBP_ASTROCYTE_DIFFERENTIATION,0.4400795,1.099339,0.32539684,Proliferative nIPC-like,0.32539684,1.1227098
126,HALLMARK_HYPOXIA,-0.45489672,-1.4536364,0.0,OPC-NPC-like 2,9.99999e-07,13.815512
127,GOBP_ASTROCYTE_DIFFERENTIATION,-0.59174854,-1.6196225,0.0028901733,OPC-NPC-like 2,0.0028901733,5.846439
128,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.43057874,-1.1892371,0.15659341,OPC-NPC-like 2,0.15659341,1.8541026
129,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.5688174,-1.2429392,0.18678816,OPC-NPC-like 2,0.18678816,1.6777802
130,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.4529464,1.1508934,0.23133236,OPC-NPC-like 2,0.23133236,1.4638999
131,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.3038231,0.78587973,0.8607595,OPC-NPC-like 2,0.8607595,0.14994015
132,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.8777103,1.8122061,0.0,Proliferative AC-OPC-like,9.99999e-07,13.815512
133,HALLMARK_HYPOXIA,-0.31548664,-1.1712344,0.0,Proliferative AC-OPC-like,9.99999e-07,13.815512
134,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.36056915,-1.1322362,0.19298245,Proliferative AC-OPC-like,0.19298245,1.645156
135,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.3487807,-0.81512463,0.7342342,Proliferative AC-OPC-like,0.7342342,0.30892724
136,GOBP_ASTROCYTE_DIFFERENTIATION,0.37944338,0.76912844,0.8365591,Proliferative AC-OPC-like,0.8365591,0.1784581
137,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.36791706,0.75754714,0.87408185,Proliferative AC-OPC-like,0.87408185,0.13458125
138,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.72330254,1.5479873,0.0021074815,NPC-neuronal-like 4,0.0021074815,6.1622615
139,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.66068995,1.4430357,0.0061791968,NPC-neuronal-like 4,0.0061791968,5.086567
