,annotation_granular,feature,mean,proportion
119,Resident-TAMs,MRC1,-0.6110972929783993,0.08681398737251093
120,Stress-response TAMs,MRC1,-0.5789420444791379,0.0936431989063568
121,Angiogenic TAMs,CD163,-0.1774991382021623,0.5844395705875562
122,Anti-inflammatory TAMs,CD163,1.0752173789571968,0.8349358974358975
123,Astrocyte-like TAMs,CD163,-0.5055670145303514,0.5265847038160626
124,Interferon TAMs,CD163,-0.6704722704517654,0.5708795900939369
125,Monocytes,CD163,1.287842661927881,0.867754294895563
126,Pro-inflammatory TAMs,CD163,-1.0713252453371165,0.3983742545890662
127,Proliferative TAMs,CD163,0.34023686315426244,0.7485217391304347
128,RTN1+ TAMs,CD163,0.36901098655062303,0.6796903350671344
129,Resident BAM TAMs,CD163,1.7365502133060369,0.8852425601304525
130,Resident-TAMs,CD163,-0.8823664209341344,0.4500971345313259
131,Stress-response TAMs,CD163,-1.50162801444047,0.3144224196855776
132,Angiogenic TAMs,RTN1,-0.6988146979140818,0.20881911577975298
133,Anti-inflammatory TAMs,RTN1,0.5562213733812098,0.38534382284382285
134,Astrocyte-like TAMs,RTN1,0.7430572646862086,0.42471658949385277
135,Interferon TAMs,RTN1,-0.6226748160827684,0.2335610589239966
136,Monocytes,RTN1,-0.5389714428319481,0.25176121616611047
137,Pro-inflammatory TAMs,RTN1,-1.1026645202186385,0.12622847053336442
138,Proliferative TAMs,RTN1,0.4807789226477613,0.4330434782608696
139,RTN1+ TAMs,RTN1,2.3962609764325182,0.6052981734607475
140,Resident BAM TAMs,RTN1,0.5160986476465713,0.40766408479412963
141,Resident-TAMs,RTN1,-0.7615421263222298,0.17994171928120448
142,Stress-response TAMs,RTN1,-0.9677495814246012,0.14354066985645933
