batch	factor	cluster	top_n_per_patient	top_n_per_factor	environment
sp_batchAT14	AT14_7	3	Ambiguous (oligo.), Ambiguous (lymphocyte 2), Oligodendrocytes 1, Undefined_1, OPC (differentiating), Undefined_6, Undefined_3, Undefined_0, Undefined_4, Oligodendrocytes 2	Oligodendrocytes 1, Ambiguous (oligo.), Ambiguous (lymphocyte 2), Oligodendrocytes 2, Undefined_1, Pro-inflammatory TAMs, Undefined_6, Resident-Microglia TAMs, OPC (differentiating), Undefined_0	White matter
sp_batchAT14	AT14_8	0	Pericytes, Endothelial (Other), VLMC, Pericyte (CNA-associated), Endothelial (arteriole), Endothelial (venule), Endothelial (capillary), Ambiguous (vascular), Mixed CD4/CD8 T cells, CD8 T cells	Pericytes, Endothelial (Other), VLMC, Pericyte (CNA-associated), Endothelial (capillary), Endothelial (venule), Endothelial (arteriole), Ambiguous (vascular), Naïve T cells, CD8 T cells	Vasculature
sp_batchAT14	AT14_9	4	AClike.3, OPClike.2, MES1like_NPC2like.1, NPC1like_OPClike.2, OPClike.3, NPC2like_OPClike.1, Ambiguous (neurons), Undefined_8, NPC1like_OPClike.3, NPC2like.5	AClike.3, OPClike.2, MES1like_NPC2like.1, T proliferatve cells, OPClike.3, NPC1like.1, NPC1like_OPClike.2, AClike_MES1like.4, Undefined_8, Undefined_0	Proliferative
sp_batchAT15	AT15_0	3	Undefined_8, Ambiguous (lymphocyte 2), Oligodendrocytes 1, OPC (differentiating), Oligodendrocytes 2, Ambiguous (oligo.), Undefined_0, Undefined_4, Undefined_10, Macrophage (microglia)	Oligodendrocytes 2, Oligodendrocytes 1, Ambiguous (oligo.), Macrophage (microglia), Oligo.-associated Astrocytes, OPC (differentiating), Pro-inflammatory TAMs, Resident-Microglia TAMs, ECM Astrocytes, Ambiguous (lymphocyte 2)	White matter
sp_batchAT15	AT15_1	4	AClike.3, MES1like_NPC2like.1, NPC1like.1, NPC1like_OPClike.1, Proliferatve TAMs, OPClike.4, AClike_MES1like.1, NPC1like_OPClike.2, OPClike.1, Oligodendrocytes 2	AClike.3, MES1like_NPC2like.1, NPC1like_OPClike.1, Proliferatve TAMs, NPC1like.1, AClike_MES1like.1, OPClike.4, NPC1like_OPClike.2, OPClike.1, Oligodendrocytes 2	Proliferative
sp_batchAT15	AT15_10	5	Stress-response TAMs, Angiogenic TAMs, MES2like.1, AClike_MES1like.4, MES1like_MES2like.1, Plasma cells, Resident BAM TAMs, Proliferatve TAMs, VLMC, OPClike.1	Stress-response TAMs, Angiogenic TAMs, MES1like_MES2like.1, MES2like.1, AClike_MES1like.4, Resident BAM TAMs, Proliferatve TAMs, VLMC, Plasma cells, OPClike.1	Hypoxic 1
sp_batchAT15	AT15_11	1	AClike.1, AClike.4, AClike_MES1like.2, OPClike.1, Proliferatve TAMs, MES1like_NPC2like.1, Monocyte, NPC1like_OPClike.3, AClike_MES1like.1, Anti-inflammatory TAMs	AClike.1, AClike_MES1like.1, AClike_MES1like.2, MES1like_NPC2like.1, Proliferatve TAMs, Monocyte, AClike.2, AClike.4, OPClike.1, AClike_MES1like.4	Dev-like (AC)
sp_batchAT15	AT15_12	8	NPC2like.2, AClike_MES1like.3, NPC2like.5, NPC1like.1, Ambiguous (lymphocyte 1), NPC2like_OPClike.1, NPC1like_OPClike.2, NPC2like.3, OPClike.5, AClike_MES2like.1	NPC2like.2, NPC2like.3, NPC2like.5, NPC1like.1, NPC2like_OPClike.1, NPC2like.1, NPC1like_OPClike.2, AClike.3, AClike_MES1like.3, MES2like.1	Dev-like (Neuron)
sp_batchAT15	AT15_13	10	Exc L6 IT, Exc L6CT, Exc L6b, Undefined_1, Exc L6 Car3, Undefined_3, L5 ET, Undefined_2, Inh PVALB, Inh SST (Chodl)	Undefined_3, Undefined_1, Exc L6 IT, Inh PVALB, Exc L4-5 IT, Neural-support Astrocytes, Inh SST, Exc L6CT, Exc L6b, Inh Chandelier	Grey matter
sp_batchAT15	AT15_14	7	Neural-support Astrocytes, Inh RELN, OPCs, Oligo.-associated Astrocytes, Undefined_7, A1-state Astrocytes, Inflammatory Astrocytes, Inh PAX6, Endothelial (capillary), Inh LAMP5	Neural-support Astrocytes, Oligo.-associated Astrocytes, Endothelial (capillary), Exc L2-3 IT, OPCs, Inh RELN, Inh LAMP5, A1-state Astrocytes, Macrophage (microglia), Ion-channel Astrocytes	Pial layer
