,annotation_coarse,feature,mean,proportion
83,Gliosis-like,TWIST2,0.543945766087947,0.017336313580112304
84,Hypoxic,TWIST2,0.3668039586349873,0.01047601008261332
85,NPC-neuronal-like,TWIST2,0.0,0.001623055302640434
86,OPC-NPC-like,TWIST2,0.043825127881747986,0.002256158791846529
87,OPC-like,TWIST2,0.015296910688581657,0.0019415649416522785
88,OPC-neuronal-like,TWIST2,0.0392559831700336,0.002295738168118672
89,Proliferative,TWIST2,0.10841580127276268,0.0044915558749550845
90,AC-gliosis-like,CTNNB1,0.8601894143753449,0.4668607109174282
91,AC-progenitor-like,CTNNB1,0.4110365631695172,0.421992660276855
92,Gliosis-like,CTNNB1,0.8835565282477837,0.5101128495883989
93,Hypoxic,CTNNB1,1.0,0.4421925312896129
94,NPC-neuronal-like,CTNNB1,0.959031894857883,0.5008808044020426
95,OPC-NPC-like,CTNNB1,0.0,0.3324508665997209
96,OPC-like,CTNNB1,0.47818314436487186,0.3935867892965354
97,OPC-neuronal-like,CTNNB1,0.7324784390660224,0.4265952437014363
98,Proliferative,CTNNB1,0.9840435375885092,0.5178314768235717
99,AC-gliosis-like,SOX2,0.4774601725996056,0.4747146248658493
100,AC-progenitor-like,SOX2,0.8730166794939027,0.6347617903622642
101,Gliosis-like,SOX2,0.19262784349875722,0.4031510658016682
102,Hypoxic,SOX2,0.5295547017978985,0.45473751693791614
103,NPC-neuronal-like,SOX2,0.0,0.2375697715846562
104,OPC-NPC-like,SOX2,0.9296512953384164,0.5966692314714589
105,OPC-like,SOX2,0.7197762036876076,0.5400976828866838
106,OPC-neuronal-like,SOX2,0.25866600442506926,0.37444078172827877
107,Proliferative,SOX2,1.0,0.6726778656126482
108,AC-gliosis-like,NFKB1,1.0,0.44347783667761553
109,AC-progenitor-like,NFKB1,0.8222067709809288,0.4172210118214277
110,Gliosis-like,NFKB1,0.9798160893141086,0.4579948754293191
111,Hypoxic,NFKB1,0.6273149145032156,0.33236198330249295
112,NPC-neuronal-like,NFKB1,0.4787276689434731,0.37899330984521595
113,OPC-NPC-like,NFKB1,0.0,0.2427131287575477
114,OPC-like,NFKB1,0.26338250496873483,0.29141613312820375
115,OPC-neuronal-like,NFKB1,0.21664765507741932,0.2870261360960678
116,Proliferative,NFKB1,0.5413648071586802,0.380996227093065
117,AC-gliosis-like,SMAD1,0.9230193286667299,0.4238999642264789
118,AC-progenitor-like,SMAD1,1.0,0.4460000165682238
119,Gliosis-like,SMAD1,0.7936136861135089,0.42452161587526577
120,Hypoxic,SMAD1,0.2985459359552294,0.265557384931447
121,NPC-neuronal-like,SMAD1,0.0,0.22746526265785202
122,OPC-NPC-like,SMAD1,0.7095954155844342,0.36093324117424586
123,OPC-like,SMAD1,0.36511490630869997,0.2882518525485559
124,OPC-neuronal-like,SMAD1,0.2526686070993007,0.2664822227454674
125,Proliferative,SMAD1,0.7896805857226327,0.42741645706072584
126,AC-gliosis-like,FOXC1,0.3925370056972168,0.012032911639402908
127,AC-progenitor-like,FOXC1,0.4715538894082753,0.013238010819050143
128,Gliosis-like,FOXC1,1.0,0.0339093932290247
129,Hypoxic,FOXC1,0.7783674837441886,0.017061763291710986
